conseil_de_quartier,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
PIGALLE - MARTYRS,16.203279984308214,286.48399441616516,57.874259795035016,33.14870547354277,0.41672167562403883,0.036978715243088774,8.52157613858104,68.46586862667965,0.0,0.0,0.0,0.0,17.724272316474714,82.27572768352529
CITROEN - BOUCICAUT,12.294176708108361,436.1554789793061,24.900270632540746,39.188438685295566,0.6250808213968534,9.072876748195409,26.214813821201577,71.24037691407202,1.1467365672923506,0.0,21.05457674185771,13.448665364790553,40.55242671154073,23.797594614518637
JARDIN DE REUILLY,15.120003130685546,451.6484680666824,33.308300347003616,46.73922148140169,0.3193676041855268,0.04101165782360393,19.59198355770194,69.91156551300482,0.4865381150494491,0.0,4.380127698787838,17.68299203761473,37.246695361756586,40.2036467867914
SAINT - VINCENT DE PAUL - LARIBOISIERE,15.398168517029555,723.6562020871586,46.12240623401895,46.895834009031056,0.44600435305271424,0.03957717808658898,6.495085066496125,51.09911191913376,0.0,0.0,0.5915301268525698,0.0,47.623722426746106,51.78474744640132
PLATEAU,11.34968849439378,187.48465149260522,24.403164238088916,26.379859839958566,0.21933487196195664,2.4198564027972256,46.57756406866008,81.445644441791,0.0,0.6349953224891229,43.60422433688794,12.045123576665896,8.006026339961132,35.70963042399591
MONTPARNASSE - RASPAIL,14.488084615196472,554.5217478078664,29.86083729224358,38.353245492701326,0.40557582376754986,0.03575427752642076,31.341949627971033,78.95735926353021,0.9742658997587613,0.0,22.8603276637758,17.06396618755548,20.962867199459215,38.13857304945075
SALPETRIERE - AUSTERLITZ,14.254319947542081,735.3327984389193,33.0681687280024,42.955927553664,0.3976567904322899,4.606647155547718,18.972772385682784,71.21054975726939,0.0,0.0,4.6850996826368885,12.093955681585001,55.86302694777231,27.357917688005806
NATIONALE - DEUX MOULINS,15.769787046703128,432.85027203239156,32.861875313885164,35.49597250568413,0.42119923214788824,0.029562051867550614,31.191614851314842,76.4685594149758,4.927894110325555,0.0,8.196311350952003,23.817491724099703,27.89723698251998,35.16106583210274
NATION - ALEXANDRE DUMAS,15.414625877422303,264.8157406907765,45.88383039111121,35.70718413745223,0.43776704270964717,0.03739579783628536,17.935377843050983,79.74081718448313,0.0,0.0,1.6543749566576174,3.09481834193463,15.460946528362237,79.7898601730455
BELLEVILLE - SAINT-MAUR,14.466891901582613,534.7323037990478,52.18200513965439,35.470837386937774,0.48003124700215066,0.042596629426812006,11.82522924354762,82.97365239188493,0.0,0.0,0.0,0.0,19.925660541293418,80.07433945870659
TEMPLE - ENFANTS ROUGES,15.436263232578256,247.03020231905498,56.38096127722038,33.504207424750625,0.5281018240488482,0.04686227790194557,9.539611572727859,69.15227265707276,0.0,0.0,2.870397520005309,0.0,21.290913008211927,75.83868947178276
